file_id,n_characters,n_syllables,n_tokens,n_polysyllabic_tokens,n_long_tokens,n_types,n_sentences,avg_characters_per_word,std_characters_per_word,avg_syllables_per_word,std_syllables_per_word,ratio_long_words,avg_words_per_sentence,std_words_per_sentence,word_length_distribution
0,741,0,144,0,113,95,11,4.00694,2.01566,0,0.0,0.78472,13.09091,5.52186,"{'4_character_tokens': 0.24306, '2_character_tokens': 0.17361, '3_character_tokens': 0.17361, '5_character_tokens': 0.11111, '1_character_tokens': 0.08333, '6_character_tokens': 0.07639, '7_character_tokens': 0.06944, '8_character_tokens': 0.04861, '9_character_tokens': 0.01389, '10_character_tokens': 0.00694}"
1,606,0,114,0,87,77,7,4.17544,2.18703,0,0.0,0.76316,16.28571,13.65912,"{'4_character_tokens': 0.2807, '2_character_tokens': 0.2193, '3_character_tokens': 0.13158, '5_character_tokens': 0.07895, '9_character_tokens': 0.07018, '6_character_tokens': 0.07018, '1_character_tokens': 0.05263, '7_character_tokens': 0.05263, '8_character_tokens': 0.04386}"
2,2592,0,491,0,376,205,26,4.13646,2.51926,0,0.0,0.76578,18.88462,9.72554,"{'2_character_tokens': 0.23625, '3_character_tokens': 0.19145, '4_character_tokens': 0.17108, '5_character_tokens': 0.10387, '6_character_tokens': 0.07739, '1_character_tokens': 0.06314, '7_character_tokens': 0.0611, '8_character_tokens': 0.0387, '9_character_tokens': 0.02648, '10_character_tokens': 0.01018, '16_character_tokens': 0.00611, '15_character_tokens': 0.00407, '11_character_tokens': 0.00407, '12_character_tokens': 0.00407, '14_character_tokens': 0.00204}"
3,891,0,147,0,94,124,18,4.26531,2.87723,0,0.0,0.63946,8.16667,7.77817,"{'2_character_tokens': 0.37415, '7_character_tokens': 0.10884, '1_character_tokens': 0.09524, '3_character_tokens': 0.08163, '6_character_tokens': 0.08163, '8_character_tokens': 0.07483, '9_character_tokens': 0.06122, '4_character_tokens': 0.04762, '5_character_tokens': 0.04082, '12_character_tokens': 0.01361, '11_character_tokens': 0.01361, '10_character_tokens': 0.0068}"
4,2619,0,501,0,399,291,70,3.96806,2.17508,0,0.0,0.79641,7.15714,6.29846,"{'3_character_tokens': 0.20758, '4_character_tokens': 0.1976, '2_character_tokens': 0.1976, '5_character_tokens': 0.11577, '1_character_tokens': 0.07784, '6_character_tokens': 0.07585, '7_character_tokens': 0.05389, '8_character_tokens': 0.03992, '9_character_tokens': 0.01397, '10_character_tokens': 0.01198, '13_character_tokens': 0.002, '11_character_tokens': 0.002, '15_character_tokens': 0.002, '14_character_tokens': 0.002}"
5,3549,0,741,0,606,291,43,3.69096,1.9418,0,0.0,0.81781,17.23256,9.35246,"{'3_character_tokens': 0.26451, '2_character_tokens': 0.20378, '4_character_tokens': 0.17679, '1_character_tokens': 0.08907, '5_character_tokens': 0.08367, '6_character_tokens': 0.07827, '7_character_tokens': 0.05803, '8_character_tokens': 0.02699, '9_character_tokens': 0.00945, '10_character_tokens': 0.0054, '11_character_tokens': 0.00405}"
6,183,0,36,0,30,33,3,3.86111,2.04454,0,0.0,0.83333,12.0,6.245,"{'4_character_tokens': 0.19444, '2_character_tokens': 0.19444, '5_character_tokens': 0.19444, '3_character_tokens': 0.13889, '1_character_tokens': 0.11111, '6_character_tokens': 0.08333, '9_character_tokens': 0.05556, '7_character_tokens': 0.02778}"
7,3144,0,632,0,507,310,37,3.88133,2.0174,0,0.0,0.80222,17.08108,11.2358,"{'4_character_tokens': 0.21361, '2_character_tokens': 0.20095, '3_character_tokens': 0.20095, '5_character_tokens': 0.10601, '1_character_tokens': 0.0807, '6_character_tokens': 0.07753, '7_character_tokens': 0.06171, '9_character_tokens': 0.02532, '8_character_tokens': 0.02373, '10_character_tokens': 0.00791, '11_character_tokens': 0.00158}"
8,1117,0,219,0,175,137,15,3.92694,2.28561,0,0.0,0.79909,14.6,9.18695,"{'4_character_tokens': 0.21461, '2_character_tokens': 0.20091, '3_character_tokens': 0.16895, '1_character_tokens': 0.10959, '5_character_tokens': 0.10502, '7_character_tokens': 0.07306, '6_character_tokens': 0.05479, '8_character_tokens': 0.03196, '10_character_tokens': 0.0137, '9_character_tokens': 0.00913, '12_character_tokens': 0.00913, '11_character_tokens': 0.00913}"
9,1198,0,236,0,191,148,14,3.94492,1.9442,0,0.0,0.80932,16.85714,9.13031,"{'3_character_tokens': 0.25, '4_character_tokens': 0.22881, '2_character_tokens': 0.16949, '5_character_tokens': 0.10169, '7_character_tokens': 0.09746, '1_character_tokens': 0.05932, '6_character_tokens': 0.04661, '8_character_tokens': 0.02542, '9_character_tokens': 0.01271, '11_character_tokens': 0.00847}"
10,1354,0,274,0,236,122,4,3.93796,1.71819,0,0.0,0.86131,68.5,103.25535,"{'4_character_tokens': 0.29197, '3_character_tokens': 0.20803, '2_character_tokens': 0.18248, '5_character_tokens': 0.15328, '6_character_tokens': 0.06934, '8_character_tokens': 0.0292, '1_character_tokens': 0.02555, '7_character_tokens': 0.01825, '9_character_tokens': 0.01095, '10_character_tokens': 0.0073, '11_character_tokens': 0.00365}"
11,682,0,120,0,89,81,6,4.55833,2.40027,0,0.0,0.74167,20.0,5.62139,"{'4_character_tokens': 0.25, '3_character_tokens': 0.18333, '2_character_tokens': 0.13333, '5_character_tokens': 0.125, '7_character_tokens': 0.075, '6_character_tokens': 0.05, '1_character_tokens': 0.05, '9_character_tokens': 0.05, '10_character_tokens': 0.05, '8_character_tokens': 0.025, '11_character_tokens': 0.00833}"
12,1911,0,371,0,285,217,31,4.00539,2.17106,0,0.0,0.76819,11.96774,7.53429,"{'4_character_tokens': 0.19677, '2_character_tokens': 0.18868, '3_character_tokens': 0.18329, '5_character_tokens': 0.10512, '1_character_tokens': 0.09434, '6_character_tokens': 0.08356, '7_character_tokens': 0.07547, '8_character_tokens': 0.04582, '9_character_tokens': 0.00809, '10_character_tokens': 0.00809, '11_character_tokens': 0.00809, '12_character_tokens': 0.0027}"
13,265,0,52,0,39,46,6,3.96154,1.96001,0,0.0,0.75,8.66667,10.0929,"{'3_character_tokens': 0.21154, '2_character_tokens': 0.19231, '4_character_tokens': 0.15385, '6_character_tokens': 0.13462, '5_character_tokens': 0.11538, '1_character_tokens': 0.07692, '8_character_tokens': 0.05769, '7_character_tokens': 0.05769}"
14,9351,0,1723,0,1251,690,78,4.29541,2.34887,0,0.0,0.72606,22.08974,13.19207,"{'4_character_tokens': 0.19617, '3_character_tokens': 0.1747, '2_character_tokens': 0.17005, '5_character_tokens': 0.10563, '6_character_tokens': 0.09344, '1_character_tokens': 0.07951, '7_character_tokens': 0.07661, '8_character_tokens': 0.04759, '9_character_tokens': 0.02844, '10_character_tokens': 0.01277, '11_character_tokens': 0.00813, '12_character_tokens': 0.00406, '13_character_tokens': 0.00232, '16_character_tokens': 0.00058}"
15,456,0,88,0,69,66,5,3.98864,2.11451,0,0.0,0.78409,17.6,15.6301,"{'2_character_tokens': 0.25, '4_character_tokens': 0.18182, '3_character_tokens': 0.17045, '5_character_tokens': 0.125, '8_character_tokens': 0.07955, '6_character_tokens': 0.06818, '1_character_tokens': 0.05682, '7_character_tokens': 0.05682, '11_character_tokens': 0.01136}"
16,1619,0,318,0,251,170,18,3.94969,2.03998,0,0.0,0.78931,17.66667,15.19288,"{'2_character_tokens': 0.21384, '3_character_tokens': 0.21069, '4_character_tokens': 0.1761, '5_character_tokens': 0.12893, '6_character_tokens': 0.10377, '1_character_tokens': 0.05975, '7_character_tokens': 0.0566, '8_character_tokens': 0.0283, '9_character_tokens': 0.00629, '10_character_tokens': 0.00629, '12_character_tokens': 0.00629, '13_character_tokens': 0.00314}"
17,110,0,25,0,22,20,3,3.28,1.74452,0,0.0,0.88,8.33333,4.16333,"{'3_character_tokens': 0.48, '1_character_tokens': 0.16, '4_character_tokens': 0.12, '2_character_tokens': 0.08, '6_character_tokens': 0.04, '7_character_tokens': 0.04, '5_character_tokens': 0.04, '8_character_tokens': 0.04}"
18,114,0,25,0,25,21,4,3.52,1.26227,0,0.0,1.0,6.25,6.13052,"{'3_character_tokens': 0.28, '5_character_tokens': 0.28, '4_character_tokens': 0.24, '2_character_tokens': 0.12, '1_character_tokens': 0.08}"
